cadena_id,cadena,siglas,nombre_tienda,dimension,mediciones,promedio
1,Zorro Abarrotero,FAX,Flecha Abarrotera Xochimilco,Calificación Total,3,87.00
1,Zorro Abarrotero,ZCU,Zorro Cuautepec,Calificación Total,3,87.00
1,Zorro Abarrotero,ZE3,Zorro Ecatepec 3,Calificación Total,3,87.00
1,Zorro Abarrotero,ZOZ,Zorro Ozumba,Calificación Total,3,87.00
1,Zorro Abarrotero,ZTM,Zorro Tecámac 2,Calificación Total,3,87.00
1,Zorro Abarrotero,ZAZ,Zorro Cien Metros,Calificación Total,3,86.67
1,Zorro Abarrotero,ZRH,Zorro Río Hondo,Calificación Total,3,86.67
1,Zorro Abarrotero,ZV2,Zorro Valle de Chalco 2,Calificación Total,3,86.67
1,Zorro Abarrotero,ZRY,Zorro Reyes,Calificación Total,3,85.67
1,Zorro Abarrotero,ZTC,Zorro Tecámac,Calificación Total,3,85.67
1,Zorro Abarrotero,ZTN,Zorro Tenayuca,Calificación Total,3,85.33
1,Zorro Abarrotero,ZCN,Zorro Cuautitlán,Calificación Total,3,85.00
1,Zorro Abarrotero,ZEC,Zorro Ecatepec,Calificación Total,3,85.00
1,Zorro Abarrotero,ZLG,Zorro Lago de Guadalupe,Calificación Total,3,84.67
1,Zorro Abarrotero,ZAL,Zorro Alta Tensión,Calificación Total,3,84.33
1,Zorro Abarrotero,ZCM,Zorro Chimalhuacán,Calificación Total,3,84.33
1,Zorro Abarrotero,ZJR,Zorro San Juan del Río,Calificación Total,3,84.33
1,Zorro Abarrotero,ZVC,Zorro Valle de Chalco,Calificación Total,3,84.33
1,Zorro Abarrotero,ZVV,Zorro Vicente Villada,Calificación Total,3,84.33
1,Zorro Abarrotero,ZCO,Zorro Contreras,Calificación Total,3,84.00
1,Zorro Abarrotero,ZTY,Zorro Tulyehualco,Calificación Total,3,84.00
1,Zorro Abarrotero,ZA2,Zorro Alta Tensión 2,Calificación Total,3,83.67
1,Zorro Abarrotero,ZQ6,Zorro Central Q6,Calificación Total,3,83.33
1,Zorro Abarrotero,ZFR,Zorro San Francisco del Rinćon,Calificación Total,1,83.00
1,Zorro Abarrotero,ZTT,Zorro Tultitlán,Calificación Total,3,83.00
1,Zorro Abarrotero,ZAC,Zorro Avenida Central,Calificación Total,3,82.67
1,Zorro Abarrotero,ZTX,Zorro Texcoco,Calificación Total,3,82.67
1,Zorro Abarrotero,ZAT,Zorro Atizapán,Calificación Total,3,82.00
1,Zorro Abarrotero,ZIX,Zorro Ixtapaluca,Calificación Total,3,81.67
1,Zorro Abarrotero,ZTU,Zorro Tulancingo,Calificación Total,3,81.67
1,Zorro Abarrotero,ZPR,Zorro Primavera,Calificación Total,3,81.00
1,Zorro Abarrotero,CCA,Cazador Comercial,Calificación Total,3,80.67
1,Zorro Abarrotero,ZA3,Zorro Alta Tensión 3,Calificación Total,3,80.00
1,Zorro Abarrotero,ZES,Zorro Estacas,Calificación Total,3,80.00
1,Zorro Abarrotero,ZHH,Zorro Huehuetoca,Calificación Total,3,80.00
1,Zorro Abarrotero,ZRO,Zorro Roldán,Calificación Total,3,80.00
1,Zorro Abarrotero,ZCJ,Zorro Cuajimalpa,Calificación Total,3,79.67
1,Zorro Abarrotero,ZE9,Zorro Central E9,Calificación Total,3,79.67
1,Zorro Abarrotero,ZH2,Zorro Central H2,Calificación Total,3,79.33
1,Zorro Abarrotero,ZT1,Zorro Toluca 1,Calificación Total,3,79.33
1,Zorro Abarrotero,ZER,Zorro Ermita Iztapalapa,Calificación Total,3,78.67
1,Zorro Abarrotero,ZCC,Zorro Carretera Cuernavaca,Calificación Total,3,78.33
1,Zorro Abarrotero,ZPA,Zorro Pantitlán,Calificación Total,3,77.67
1,Zorro Abarrotero,ZIG,Zorro Iguala,Calificación Total,3,77.00
1,Zorro Abarrotero,ZTL,Zorro Tlalnepantla,Calificación Total,4,76.75
1,Zorro Abarrotero,ZCA,Zorro Central C47,Calificación Total,3,76.67
1,Zorro Abarrotero,ZET,Zorro Ermita Iztapalapa 2,Calificación Total,3,76.67
1,Zorro Abarrotero,ZJI,Zorro Jiutepec,Calificación Total,3,76.00
1,Zorro Abarrotero,CNA,Cazador Comercial Naucalpan,Calificación Total,3,75.00
